profile_url,profile_picture_url,username,post_comment_url,time_elapsed,comment_text,mentioned_user_1_username,mentioned_user_1_url,mentioned_user_2_username,mentioned_user_2_url,mentioned_user_3_username,mentioned_user_3_url,action_type,extra_empty_column
https://www.instagram.com/qirah.aspah/?next=&hl=en,https://instagram.fkul10-1.fna.fbcdn.net/v/t51.2885-19/490100915_1342615557005565_6497743739844265491_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby43OTMuYzIifQ&_nc_ht=instagram.fkul10-1.fna.fbcdn.net&_nc_cat=109&_nc_oc=Q6cZ2QFfuIaGABkzLppuYyvt3Y_SbaVwD4-ZIgKHKeeDzD3GqmTAVWNJhbH3KPio00f1vxfFyINAHKvtHib9WrWoU_E5&_nc_ohc=YeIZ3382RJQQ7kNvwFY8bma&_nc_gid=24O185qqC0Kw8vsWgpyybw&edm=AKp6CbIBAAAA&ccb=7-5&oh=00_AfVbsJEhvzjE9_KGBHYUZSVSraJ-WPxZ6VRkLcEE1cjxEw&oe=68B88455&_nc_sid=d62176,qirah.aspah,https://www.instagram.com/p/DNc0h9fpAno/c/17920540365120011/?next=&hl=en,6d,,@faa__ismail,https://www.instagram.com/faa__ismail/?next=&hl=en,@cilah_aziz,https://www.instagram.com/cilah_aziz/?next=&hl=en,@cik_siti2022,https://www.instagram.com/cik_siti2022/?next=&hl=en,Reply,
https://www.instagram.com/qirah.aspah/?next=&hl=en,https://instagram.fkul10-1.fna.fbcdn.net/v/t51.2885-19/490100915_1342615557005565_6497743739844265491_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby43OTMuYzIifQ&_nc_ht=instagram.fkul10-1.fna.fbcdn.net&_nc_cat=109&_nc_oc=Q6cZ2QFfuIaGABkzLppuYyvt3Y_SbaVwD4-ZIgKHKeeDzD3GqmTAVWNJhbH3KPio00f1vxfFyINAHKvtHib9WrWoU_E5&_nc_ohc=YeIZ3382RJQQ7kNvwFY8bma&_nc_gid=24O185qqC0Kw8vsWgpyybw&edm=AKp6CbIBAAAA&ccb=7-5&oh=00_AfVbsJEhvzjE9_KGBHYUZSVSraJ-WPxZ6VRkLcEE1cjxEw&oe=68B88455&_nc_sid=d62176,qirah.aspah,https://www.instagram.com/p/DNc0h9fpAno/c/18009111380788927/?next=&hl=en,6d,,@honey.lemon2090,https://www.instagram.com/honey.lemon2090/?next=&hl=en,@ciklily62,https://www.instagram.com/ciklily62/?next=&hl=en,@cindy_law2191,https://www.instagram.com/cindy_law2191/?next=&hl=en,Reply,
https://www.instagram.com/qirah.aspah/?next=&hl=en,https://instagram.fkul10-1.fna.fbcdn.net/v/t51.2885-19/490100915_1342615557005565_6497743739844265491_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby43OTMuYzIifQ&_nc_ht=instagram.fkul10-1.fna.fbcdn.net&_nc_cat=109&_nc_oc=Q6cZ2QFfuIaGABkzLppuYyvt3Y_SbaVwD4-ZIgKHKeeDzD3GqmTAVWNJhbH3KPio00f1vxfFyINAHKvtHib9WrWoU_E5&_nc_ohc=YeIZ3382RJQQ7kNvwFY8bma&_nc_gid=24O185qqC0Kw8vsWgpyybw&edm=AKp6CbIBAAAA&ccb=7-5&oh=00_AfVbsJEhvzjE9_KGBHYUZSVSraJ-WPxZ6VRkLcEE1cjxEw&oe=68B88455&_nc_sid=d62176,qirah.aspah,https://www.instagram.com/p/DNc0h9fpAno/c/18021401834725307/?next=&hl=en,6d,,@cinta100_,https://www.instagram.com/cinta100_/?next=&hl=en,@cik_iqa90,https://www.instagram.com/cik_iqa90/?next=&hl=en,@cikmiraaaaaak,https://www.instagram.com/cikmiraaaaaak/?next=&hl=en,Reply,
https://www.instagram.com/qirah.aspah/?next=&hl=en,https://instagram.fkul10-1.fna.fbcdn.net/v/t51.2885-19/490100915_1342615557005565_6497743739844265491_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby43OTMuYzIifQ&_nc_ht=instagram.fkul10-1.fna.fbcdn.net&_nc_cat=109&_nc_oc=Q6cZ2QFfuIaGABkzLppuYyvt3Y_SbaVwD4-ZIgKHKeeDzD3GqmTAVWNJhbH3KPio00f1vxfFyINAHKvtHib9WrWoU_E5&_nc_ohc=YeIZ3382RJQQ7kNvwFY8bma&_nc_gid=24O185qqC0Kw8vsWgpyybw&edm=AKp6CbIBAAAA&ccb=7-5&oh=00_AfVbsJEhvzjE9_KGBHYUZSVSraJ-WPxZ6VRkLcEE1cjxEw&oe=68B88455&_nc_sid=d62176,qirah.aspah,https://www.instagram.com/p/DNc0h9fpAno/c/18097987969617389/?next=&hl=en,6d,,@cityangel78,https://www.instagram.com/cityangel78/?next=&hl=en,@cikpanda_dut,https://www.instagram.com/cikpanda_dut/?next=&hl=en,@cikmanis_psycho,https://www.instagram.com/cikmanis_psycho/?next=&hl=en,Reply,
https://www.instagram.com/qirah.aspah/?next=&hl=en,https://instagram.fkul10-1.fna.fbcdn.net/v/t51.2885-19/490100915_1342615557005565_6497743739844265491_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby43OTMuYzIifQ&_nc_ht=instagram.fkul10-1.fna.fbcdn.net&_nc_cat=109&_nc_oc=Q6cZ2QFfuIaGABkzLppuYyvt3Y_SbaVwD4-ZIgKHKeeDzD3GqmTAVWNJhbH3KPio00f1vxfFyINAHKvtHib9WrWoU_E5&_nc_ohc=YeIZ3382RJQQ7kNvwFY8bma&_nc_gid=24O185qqC0Kw8vsWgpyybw&edm=AKp6CbIBAAAA&ccb=7-5&oh=00_AfVbsJEhvzjE9_KGBHYUZSVSraJ-WPxZ6VRkLcEE1cjxEw&oe=68B88455&_nc_sid=d62176,qirah.aspah,https://www.instagram.com/p/DNc0h9fpAno/c/18091418929668358/?next=&hl=en,6d,,@cahaya_at,https://www.instagram.com/cahaya_at/?next=&hl=en,@qaseh_cahya,https://www.instagram.com/qaseh_cahya/?next=&hl=en,@cammy7830,https://www.instagram.com/cammy7830/?next=&hl=en,Reply,
https://www.instagram.com/qirah.aspah/?next=&hl=en,https://instagram.fkul10-1.fna.fbcdn.net/v/t51.2885-19/490100915_1342615557005565_6497743739844265491_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby43OTMuYzIifQ&_nc_ht=instagram.fkul10-1.fna.fbcdn.net&_nc_cat=109&_nc_oc=Q6cZ2QFfuIaGABkzLppuYyvt3Y_SbaVwD4-ZIgKHKeeDzD3GqmTAVWNJhbH3KPio00f1vxfFyINAHKvtHib9WrWoU_E5&_nc_ohc=YeIZ3382RJQQ7kNvwFY8bma&_nc_gid=24O185qqC0Kw8vsWgpyybw&edm=AKp6CbIBAAAA&ccb=7-5&oh=00_AfVbsJEhvzjE9_KGBHYUZSVSraJ-WPxZ6VRkLcEE1cjxEw&oe=68B88455&_nc_sid=d62176,qirah.aspah,https://www.instagram.com/p/DNc0h9fpAno/c/18076396565052405/?next=&hl=en,6d,,@cecahh20_,https://www.instagram.com/cecahh20_/?next=&hl=en,@carrie_pbc,https://www.instagram.com/carrie_pbc/?next=&hl=en,@catherine_ho_1231,https://www.instagram.com/catherine_ho_1231/?next=&hl=en,Reply,
https://www.instagram.com/qirah.aspah/?next=&hl=en,https://instagram.fkul10-1.fna.fbcdn.net/v/t51.2885-19/490100915_1342615557005565_6497743739844265491_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby43OTMuYzIifQ&_nc_ht=instagram.fkul10-1.fna.fbcdn.net&_nc_cat=109&_nc_oc=Q6cZ2QFfuIaGABkzLppuYyvt3Y_SbaVwD4-ZIgKHKeeDzD3GqmTAVWNJhbH3KPio00f1vxfFyINAHKvtHib9WrWoU_E5&_nc_ohc=YeIZ3382RJQQ7kNvwFY8bma&_nc_gid=24O185qqC0Kw8vsWgpyybw&edm=AKp6CbIBAAAA&ccb=7-5&oh=00_AfVbsJEhvzjE9_KGBHYUZSVSraJ-WPxZ6VRkLcEE1cjxEw&oe=68B88455&_nc_sid=d62176,qirah.aspah,https://www.instagram.com/p/DNc0h9fpAno/c/18414471193107826/?next=&hl=en,6d,,@sittiarabia,https://www.instagram.com/sittiarabia/?next=&hl=en,@nadilashamsulkhair,https://www.instagram.com/nadilashamsulkhair/?next=&hl=en,@ndiyana91_,https://www.instagram.com/ndiyana91_/?next=&hl=en,Reply,
https://www.instagram.com/niakamalx/?next=&hl=en,https://instagram.fkul15-1.fna.fbcdn.net/v/t51.2885-19/484931453_1181812253646270_6115729749694566552_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fkul15-1.fna.fbcdn.net&_nc_cat=106&_nc_oc=Q6cZ2QFfuIaGABkzLppuYyvt3Y_SbaVwD4-ZIgKHKeeDzD3GqmTAVWNJhbH3KPio00f1vxfFyINAHKvtHib9WrWoU_E5&_nc_ohc=zrg8p9Sv1tIQ7kNvwGx-_wb&_nc_gid=24O185qqC0Kw8vsWgpyybw&edm=AKp6CbIBAAAA&ccb=7-5&oh=00_AfX_3fyyt5wQ_wr4oL_6lWkmmpFNtqAJkU2WaFgg-ZVuXw&oe=68B8843B&_nc_sid=d62176,niakamalx,https://www.instagram.com/p/DNc0h9fpAno/c/17902418145252513/?next=&hl=en,6d,Let's follow and support 😍,@ndf_yaayaa,https://www.instagram.com/ndf_yaayaa/?next=&hl=en,@yasmin_yusof777,https://www.instagram.com/yasmin_yusof777/?next=&hl=en,@lokmayyee,https://www.instagram.com/lokmayyee/?next=&hl=en,Reply,
https://www.instagram.com/niakamalx/?next=&hl=en,https://instagram.fkul15-1.fna.fbcdn.net/v/t51.2885-19/484931453_1181812253646270_6115729749694566552_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fkul15-1.fna.fbcdn.net&_nc_cat=106&_nc_oc=Q6cZ2QFfuIaGABkzLppuYyvt3Y_SbaVwD4-ZIgKHKeeDzD3GqmTAVWNJhbH3KPio00f1vxfFyINAHKvtHib9WrWoU_E5&_nc_ohc=zrg8p9Sv1tIQ7kNvwGx-_wb&_nc_gid=24O185qqC0Kw8vsWgpyybw&edm=AKp6CbIBAAAA&ccb=7-5&oh=00_AfX_3fyyt5wQ_wr4oL_6lWkmmpFNtqAJkU2WaFgg-ZVuXw&oe=68B8843B&_nc_sid=d62176,niakamalx,https://www.instagram.com/p/DNc0h9fpAno/c/18414978037109434/?next=&hl=en,5d,Let's follow and support,@bieha_88,https://www.instagram.com/bieha_88/?next=&hl=en,@nanie_772,https://www.instagram.com/nanie_772/?next=&hl=en,@delisha_hana85,https://www.instagram.com/delisha_hana85/?next=&hl=en,Reply,
https://www.instagram.com/qirah.aspah/?next=&hl=en,https://instagram.fkul10-1.fna.fbcdn.net/v/t51.2885-19/490100915_1342615557005565_6497743739844265491_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby43OTMuYzIifQ&_nc_ht=instagram.fkul10-1.fna.fbcdn.net&_nc_cat=109&_nc_oc=Q6cZ2QFfuIaGABkzLppuYyvt3Y_SbaVwD4-ZIgKHKeeDzD3GqmTAVWNJhbH3KPio00f1vxfFyINAHKvtHib9WrWoU_E5&_nc_ohc=YeIZ3382RJQQ7kNvwFY8bma&_nc_gid=24O185qqC0Kw8vsWgpyybw&edm=AKp6CbIBAAAA&ccb=7-5&oh=00_AfVbsJEhvzjE9_KGBHYUZSVSraJ-WPxZ6VRkLcEE1cjxEw&oe=68B88455&_nc_sid=d62176,qirah.aspah,https://www.instagram.com/p/DNc0h9fpAno/c/18352961506095906/?next=&hl=en,4d,,@tiyahzafran,https://www.instagram.com/tiyahzafran/?next=&hl=en,@tihahosman,https://www.instagram.com/tihahosman/?next=&hl=en,@tiafatihah_,https://www.instagram.com/tiafatihah_/?next=&hl=en,Reply,
